"","orig_GS","old_entrez_id","en2gs_GS","ens_id"
"gene_symbol375","CHMP5",51510,"CHMP5","ENSG00000086065"
"gene_symbol376","TMEM14C",51522,"TMEM14C","ENSG00000111843"
"gene_symbol377","GJA3",2700,"GJA3","ENSG00000121743"
"gene_symbol378","FBN1",2200,"FBN1","ENSG00000166147"
"gene_symbol379","ARHGAP42",143872,"ARHGAP42","ENSG00000165895"
"gene_symbol380","EPS8L1",54869,"EPS8L1","ENSG00000131037"
"gene_symbol381","SEPTIN8",23176,"SEPTIN8","ENSG00000164402"
"gene_symbol382","AFAP1L1",134265,"AFAP1L1","ENSG00000157510"
"gene_symbol383","PPOX",5498,"PPOX","ENSG00000143224"
"gene_symbol384","FURIN",5045,"FURIN","ENSG00000140564"
"gene_symbol385","TSSK4",283629,"TSSK4","ENSG00000139908"
"gene_symbol386","MELTF-AS1",100507057,"MELTF-AS1","ENSG00000228109"
"gene_symbol387","ADARB2",105,"ADARB2","ENSG00000185736"
"gene_symbol388","NBPF20",100288142,"NBPF20","ENSG00000162825"
"gene_symbol389","NMU",10874,"NMU","ENSG00000109255"
