"","orig_GS","orig_ensembl_id","entrenzID","new_GS"
"gene_symbol58","SPPL2B","ENSG00000005206","56928","SPPL2B"
"gene_symbol59","TCHP","ENSG00000139437","84260","TCHP"
"gene_symbol60","BX547991.1","ENSG00000265630","",""
"gene_symbol61","CPNE8","ENSG00000139117","144402","CPNE8"
"gene_symbol62","HMGB1P40","ENSG00000255291","",""
"gene_symbol63","AC005821.2","ENSG00000287457","",""
"gene_symbol64","ASB18","ENSG00000182177","401036","ASB18"
"gene_symbol65","AC233280.2","ENSG00000271662","",""
"gene_symbol66","NPM1P14","ENSG00000182965","",""
"gene_symbol67","AC080129.2","ENSG00000232874","",""
"gene_symbol68","PPP1R37","ENSG00000104866","284352","PPP1R37"
"gene_symbol69","TP53TG3","ENSG00000183632","24150","TP53TG3"
"gene_symbol70","AC008280.1","ENSG00000241114","",""
"gene_symbol71","TMEM130","ENSG00000166448","222865","TMEM130"
"gene_symbol72","PLEKHO2","ENSG00000241839","80301","PLEKHO2"
"gene_symbol73","H2BC21","ENSG00000184678","8349","H2BC21"
"gene_symbol74","AC073941.2","ENSG00000259509","",""
"gene_symbol75","AL355303.2","ENSG00000287848","",""
"gene_symbol76","DLG2","ENSG00000150672","1740","DLG2"
"gene_symbol77","MTND4LP21","ENSG00000231582","107075306","MTND4LP21"
"gene_symbol78","AL024498.1","ENSG00000272097","",""
"gene_symbol79","GBP1P1","ENSG00000225492","400759","GBP1P1"
"gene_symbol80","AL132838.1","ENSG00000240096","326289","RPL18AP1"
"gene_symbol81","TCEAL1","ENSG00000172465","9338","TCEAL1"
"gene_symbol82","SNORA49","ENSG00000208892","677829","SNORA49"
"gene_symbol83","AC027097.2","ENSG00000267787","",""
"gene_symbol84","ZFP1","ENSG00000184517","162239","ZFP1"
"gene_symbol85","AC018630.4","ENSG00000275778","100533464","PRH1-PRR4"
"gene_symbol86","AL590727.1","ENSG00000236920","",""
"gene_symbol87","RD3","ENSG00000198570","343035","RD3"
"gene_symbol88","AC004678.1","ENSG00000275468","",""
"gene_symbol89","","ENSG00000183470","286023","FLJ40288"
"gene_symbol90","CAPN14","ENSG00000214711","440854","CAPN14"
"gene_symbol91","SHC1","ENSG00000160691","6464","SHC1"
"gene_symbol92","NANOGP3","ENSG00000271373","340217","NANOGP3"
"gene_symbol93","AL137161.1","ENSG00000254537","",""
"gene_symbol94","AGAP2-AS1","ENSG00000255737","100130776","AGAP2-AS1"
"gene_symbol95","AC139491.6","ENSG00000283559","",""
"gene_symbol96","LRRC37A5P","ENSG00000204173","652972","LRRC37A5P"
"gene_symbol97","MTND5P33","ENSG00000261904","107075118","MTND5P33"
"gene_symbol98","SNORA70F","ENSG00000206869","100337591","SNORA70F"
"gene_symbol99","AC023283.1","ENSG00000287655","",""
"gene_symbol100","KDM4F","ENSG00000255855","100129053","KDM4F"
"gene_symbol101","AC093525.3","ENSG00000260436","",""
"gene_symbol102","HIGD1A","ENSG00000181061","25994","HIGD1A"
"gene_symbol103","EED","ENSG00000074266","8726","EED"
"gene_symbol104","AP003354.1","ENSG00000253263","",""
"gene_symbol105","LINC01514","ENSG00000237579","101927396","LINC01514"
"gene_symbol106","AC008267.7","ENSG00000279785","",""
"gene_symbol107","TGM6","ENSG00000166948","343641","TGM6"
"gene_symbol108","AC011092.2","ENSG00000255476","101928008","LOC101928008"
"gene_symbol109","MTCO3P38","ENSG00000242456","107075187","MTCO3P38"
"gene_symbol110","PSMA1","ENSG00000129084","5682","PSMA1"
"gene_symbol111","AC016559.3","ENSG00000250330","",""
"gene_symbol112","WDR37","ENSG00000047056","22884","WDR37"
"gene_symbol113","CES5AP1","ENSG00000215478","",""
"gene_symbol114","CES4A","ENSG00000172824","283848","CES4A"
"gene_symbol115","LHFPL3-AS1","ENSG00000226869","645591","LHFPL3-AS1"
"gene_symbol116","AC016252.1","ENSG00000272609","",""
"gene_symbol117","MTHFD2L","ENSG00000163738","441024","MTHFD2L"
"gene_symbol118","Z80897.1","ENSG00000286485","",""
"gene_symbol119","AP000648.2","ENSG00000254436","",""
"gene_symbol120","FBXO5","ENSG00000112029","26271","FBXO5"
